-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.022,  0.214
-183.799, 80.194, 0.110,  0.247
-183.796, 80.187, 0.186,  0.280
-183.793, 80.179, 0.240,  0.313
-183.788, 80.169, 0.309,  0.346
-183.782, 80.157, 0.377,  0.379
-183.773, 80.143, 0.412,  0.412
-183.761, 80.127, 0.499,  0.445
-183.749, 80.110, 0.532,  0.478
-183.734, 80.090, 0.592,  0.511
-183.719, 80.070, 0.665,  0.544
-183.701, 80.047, 0.723,  0.577
-183.682, 80.024, 0.758,  0.610
-183.661, 79.998, 0.842,  0.643
-183.639, 79.972, 0.888,  0.676
-183.615, 79.944, 0.928,  0.709
-183.589, 79.915, 0.981,  0.742
-183.562, 79.886, 1.027,  0.775
-183.533, 79.855, 1.077,  0.808
-183.502, 79.823, 1.135,  0.841
-183.471, 79.790, 1.189,  0.874
-183.439, 79.756, 1.238,  0.907
-183.406, 79.721, 1.285,  0.940
-183.372, 79.685, 1.331,  0.973
-183.338, 79.648, 1.374,  1.006
-183.302, 79.610, 1.415,  1.039
-183.266, 79.571, 1.453,  1.072
-183.229, 79.532, 1.488,  1.105
-183.192, 79.493, 1.521,  1.138
-183.154, 79.453, 1.551,  1.171
-183.115, 79.412, 1.580,  1.204
-183.076, 79.371, 1.606,  1.237
-183.036, 79.330, 1.630,  1.270
-182.995, 79.288, 1.652,  1.303
-182.954, 79.246, 1.673,  1.336
-182.913, 79.205, 1.692,  1.369
-182.871, 79.162, 1.709,  1.402
-182.829, 79.120, 1.725,  1.435
-182.786, 79.078, 1.740,  1.468
-182.742, 79.036, 1.754,  1.501
-182.699, 78.993, 1.766,  1.534
-182.655, 78.951, 1.777,  1.567
-182.610, 78.909, 1.787,  1.600
-182.566, 78.866, 1.797,  1.633
-182.521, 78.824, 1.805,  1.666
-182.475, 78.782, 1.813,  1.699
-182.430, 78.740, 1.820,  1.732
